"filename", "language", "TypeScript", "JavaScript", "CSS", "XML", "TypeScript React", "JavaScript React", "JSON", "comment", "blank", "total"
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Visuals\Spinners.tsx", "TypeScript React", 0, 0, 0, 0, 58, 0, 0, 0, 7, 65
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Workflows\DialogVerticalWorkflowStepper.tsx", "TypeScript React", 0, 0, 0, 0, 46, 0, 0, 0, 8, 54
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Workflows\HorizontalWorkflowStepper.tsx", "TypeScript React", 0, 0, 0, 0, 45, 0, 0, 0, 8, 53
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Workflows\VerticalWorkflowStepper.tsx", "TypeScript React", 0, 0, 0, 0, 52, 0, 0, 0, 9, 61
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Workflows\WorkflowBanner.tsx", "TypeScript React", 0, 0, 0, 0, 65, 0, 0, 1, 5, 71
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Workflows\WorkflowTypes.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 5, 69
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Images\CompanyLogo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Images\CompanyLogo1.svg", "XML", 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Images\CompanyLogo2.svg", "XML", 0, 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Layout\Layout.tsx", "TypeScript React", 0, 0, 0, 0, 89, 0, 0, 3, 12, 104
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Layout\LayoutTypes.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Actions\ActionTypes.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Actions\ApplicationActions.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 8, 51
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Actions\DialogsAction.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Actions\LayoutActions.ts", "TypeScript", 171, 0, 0, 0, 0, 0, 0, 4, 9, 184
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Actions\LoginActions.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 5, 47
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Actions\LogoutActions.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Actions\UISpinnerActions.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Actions\WorkflowActions.ts", "TypeScript", 136, 0, 0, 0, 0, 0, 0, 0, 10, 146
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Middlewares\AuthMiddleware.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 1, 5, 32
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Middlewares\DialogsMiddleware.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 3, 3, 17
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Middlewares\LayoutMiddleware.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 4, 3, 16
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Middlewares\UISpinnerMiddleware.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Reducers\AllReducers.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 3, 36
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Reducers\ApplicationReducer.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 9, 61
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Reducers\DialogsReducer.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 10, 63
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Reducers\LayoutReducer.ts", "TypeScript", 160, 0, 0, 0, 0, 0, 0, 6, 11, 177
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Reducers\LoginReducer.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Reducers\LogoutReducer.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Reducers\RootReducer.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 4, 4, 15
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Reducers\UISpinnerReducer.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Reducers\WorkflowReducer.ts", "TypeScript", 119, 0, 0, 0, 0, 0, 0, 19, 20, 158
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Sagas\LoginSaga.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 8, 56
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Sagas\SetUpWorkflowSaga.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 16, 7, 44
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\State\ApplicationState.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\State\ApplicationStateTypes.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 6, 22
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\State\DialogsState.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
