"filename", "language", "JavaScript", "TypeScript React", "TypeScript", "XML", "JavaScript React", "CSS", "comment", "blank", "total"
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Table\TableTypes.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 5, 19
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Tabs\TabsWrapper.tsx", "TypeScript React", 0, 108, 0, 0, 0, 0, 7, 10, 125
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Tabs\TabsWrapperTypes.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 2, 11
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\TextFields\ApexMuiTextField.tsx", "TypeScript React", 0, 62, 0, 0, 0, 0, 0, 7, 69
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\TextFields\ApexTextField.tsx", "TypeScript React", 0, 53, 0, 0, 0, 0, 0, 7, 60
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\User\UserProfile.tsx", "TypeScript React", 0, 186, 0, 0, 0, 0, 4, 12, 202
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\User\UserTypes.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Visuals\Image.tsx", "TypeScript React", 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Visuals\Loading.tsx", "TypeScript React", 0, 19, 0, 0, 0, 0, 0, 5, 24
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Visuals\PerpetualSpinner.tsx", "TypeScript React", 0, 58, 0, 0, 0, 0, 0, 7, 65
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Visuals\Spinners.tsx", "TypeScript React", 0, 58, 0, 0, 0, 0, 0, 7, 65
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Visuals\SuspensePerpetualSpinner.tsx", "TypeScript React", 0, 62, 0, 0, 0, 0, 0, 8, 70
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Workflows\DialogVerticalWorkflowStepper.tsx", "TypeScript React", 0, 60, 0, 0, 0, 0, 0, 8, 68
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Workflows\HorizontalWorkflowStepper.tsx", "TypeScript React", 0, 45, 0, 0, 0, 0, 0, 8, 53
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Workflows\VerticalWorkflowStepper.tsx", "TypeScript React", 0, 67, 0, 0, 0, 0, 0, 9, 76
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Workflows\WorkflowBanner.tsx", "TypeScript React", 0, 63, 0, 0, 0, 0, 0, 5, 68
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Components\Workflows\WorkflowTypes.ts", "TypeScript", 0, 0, 97, 0, 0, 0, 0, 5, 102
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Events\NoEventPropagation.tsx", "TypeScript React", 0, 15, 0, 0, 0, 0, 0, 3, 18
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Events\NoImmediateEventPropagation.tsx", "TypeScript React", 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Images\ApexLogo.svg", "XML", 0, 0, 0, 23, 0, 0, 1, 1, 25
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Images\ApexLogoFull.svg", "XML", 0, 0, 0, 43, 0, 0, 1, 1, 45
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Images\ApexLogoFullWithHFPText.svg", "XML", 0, 0, 0, 199, 0, 0, 1, 1, 201
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Images\ApexLogoOld.svg", "XML", 0, 0, 0, 34, 0, 0, 0, 1, 35
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Images\CompanyLogo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Images\Spreadsheet.svg", "XML", 0, 0, 0, 69, 0, 0, 1, 1, 71
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Images\SyncwareLogo.svg", "XML", 0, 0, 0, 24, 0, 0, 1, 1, 26
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Images\SyncwareLogoWithName.svg", "XML", 0, 0, 0, 126, 0, 0, 1, 1, 128
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Layout\Layout.tsx", "TypeScript React", 0, 104, 0, 0, 0, 0, 2, 10, 116
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Layout\LayoutTypes.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 5, 42
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Actions\ActionTypes.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 1, 11
"c:\Users\Gideon\Documents\CRE\Software Development Methods\JavaScript\forecastingplatform\src\Application\Redux\Actions\ApplicationActions.ts", "TypeScript", 0, 0, 92, 0, 0, 0, 0, 13, 105
